TRAINING PASS # 9
PREDICTED RESULTS: 0.0098746 0.20112 0.85824 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0122789 0.272341 0.786989 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0206937 0.481966 0.534496 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0310717 0.614844 0.331933 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0124441 0.275876 0.782378 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0196898 0.460008 0.562296 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0158835 0.370855 0.674576 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0218702 0.507828 0.502687 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0659893 0.740076 0.111008 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0170427 0.399951 0.639042 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00777257 0.145482 0.910692 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00842782 0.161484 0.895671 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00781277 0.146347 0.90983 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00773493 0.144665 0.911498 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00775414 0.145077 0.911088 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00802695 0.151364 0.905064 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00798759 0.15041 0.905956 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00812895 0.153843 0.902734 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00784064 0.146977 0.909222 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0080122 0.150954 0.905414 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 109
PREDICTED RESULTS: 0.943407 0.0919627 0.000190292 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.912661 0.13048 0.000304689 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.939101 0.0974181 0.000206038 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.93428 0.103838 0.000223362 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.934631 0.103472 0.000221978 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.934535 0.103514 0.000222425 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.942901 0.0926564 0.000192075 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.937971 0.0989792 0.000210027 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.943895 0.0913686 0.000188479 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.941082 0.0950618 0.000198609 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00895732 0.179701 0.85805 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0122873 0.312285 0.726955 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0237946 0.650392 0.335025 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0352793 0.760866 0.177372 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0123061 0.310846 0.72717 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0220748 0.614743 0.377725 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0170158 0.482641 0.536936 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0255932 0.684315 0.29554 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0720307 0.826785 0.056477 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0186373 0.531166 0.479673 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00674161 0.111543 0.923199 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00737225 0.127505 0.907366 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00676989 0.11211 0.922567 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00671197 0.110949 0.92386 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00672528 0.111211 0.923566 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0069664 0.116615 0.917908 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00693228 0.115784 0.918742 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00706174 0.118991 0.915541 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00679025 0.112542 0.922101 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00693883 0.115901 0.918598 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 119
PREDICTED RESULTS: 0.950345 0.071258 0.000141626 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.924673 0.103311 0.000216931 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.946915 0.075559 0.00015163 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.942875 0.0808034 0.000163215 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.943129 0.0805261 0.000162424 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.943069 0.0805693 0.000162639 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.949927 0.0718102 0.000142814 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.945951 0.0768436 0.000154357 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.950717 0.0708055 0.000140529 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.94844 0.0737346 0.000147085 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00815152 0.163279 0.863397 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0118216 0.347578 0.684177 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0245824 0.75534 0.226419 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0357785 0.83345 0.114707 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0117798 0.342615 0.68777 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0223542 0.715639 0.272825 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0169582 0.572612 0.440004 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0264353 0.783148 0.19481 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0704954 0.866296 0.0385531 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.018795 0.631673 0.372285 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00605934 0.0919445 0.932222 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00659779 0.105521 0.918095 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00608094 0.0923452 0.931733 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00603683 0.0915288 0.93273 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00604565 0.0916875 0.932533 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00624247 0.095878 0.927811 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00621982 0.0953414 0.928383 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00632399 0.097878 0.92571 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00609296 0.0925821 0.931454 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00621468 0.0951901 0.928524 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 129
PREDICTED RESULTS: 0.955446 0.058528 0.000115998 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.932074 0.0869138 0.000175363 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.952454 0.0621671 0.000123609 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.94874 0.0667992 0.000132904 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.948939 0.0665873 0.000132367 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.948945 0.0665698 0.000132363 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.955066 0.0590087 0.000116946 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.951567 0.0632991 0.000125802 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.955756 0.0581603 0.0001152 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.953751 0.0606511 0.00012024 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00633029 0.100144 0.917151 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0074801 0.149221 0.871128 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0149082 0.571411 0.44729 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0248562 0.800703 0.171637 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00764473 0.156474 0.86394 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0130188 0.472833 0.551051 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00989706 0.285276 0.740918 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0156715 0.608683 0.408635 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0542757 0.883126 0.0429564 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0109595 0.35144 0.675639 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00555915 0.0791651 0.939121 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00573803 0.0827761 0.934806 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0055712 0.0793614 0.938854 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00555056 0.0790245 0.939311 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00555364 0.0790731 0.939244 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00562545 0.0803642 0.937596 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00562431 0.0803411 0.937623 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00565606 0.0809729 0.936863 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00557206 0.0793757 0.938835 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00562154 0.0802714 0.937696 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 139
PREDICTED RESULTS: 0.959484 0.0481166 0.000107223 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.938274 0.0724737 0.000159485 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.956866 0.0511415 0.000113691 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.953455 0.0551211 0.000122043 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.953597 0.0549671 0.000121678 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.953633 0.0549191 0.000121597 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.959134 0.0485276 0.00010808 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.956038 0.052117 0.00011571 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.959742 0.0478214 0.000106583 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.957954 0.0499076 0.000110977 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00844681 0.25331 0.783808 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0145847 0.676826 0.369781 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0283198 0.891643 0.0922076 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0381111 0.903644 0.0568355 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0142563 0.657984 0.388861 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0260716 0.880956 0.108772 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.020616 0.833076 0.177691 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0300934 0.898401 0.081757 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0675612 0.896443 0.0254495 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0225471 0.855694 0.146537 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00528681 0.0715278 0.942863 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00590651 0.0933393 0.922644 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00530477 0.07197 0.942393 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00526862 0.0710834 0.943336 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00527415 0.0712149 0.943194 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00546726 0.0766973 0.937735 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00544946 0.07613 0.938274 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00556354 0.0799024 0.934724 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0053124 0.072168 0.942188 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00543424 0.0756278 0.938742 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 149
PREDICTED RESULTS: 0.963113 0.0414272 0.000105552 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.943244 0.0632376 0.00015686 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.960725 0.0440662 0.000111762 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.957528 0.0476188 0.000120002 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.957646 0.0474953 0.000119687 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.957702 0.0474313 0.000119543 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.962788 0.0417914 0.000106394 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.959948 0.044936 0.000113757 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.963342 0.041176 0.000104954 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.961702 0.0430016 0.0001092 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00829261 0.27966 0.767161 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0141716 0.723872 0.337897 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0269869 0.902637 0.087689 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.036016 0.909824 0.0560651 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0139336 0.709963 0.352278 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0245855 0.893526 0.104649 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0196531 0.85618 0.16529 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0284402 0.907014 0.0794746 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0624713 0.899988 0.0266328 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0214621 0.874628 0.137076 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00506247 0.0630034 0.94803 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00560546 0.0835187 0.929767 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00507966 0.0634724 0.947563 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00504776 0.0626062 0.948426 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00505106 0.0626922 0.948339 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00521763 0.0678256 0.943481 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00521364 0.0676868 0.943607 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00530794 0.0710578 0.940569 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00508133 0.0635195 0.947517 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00519137 0.0669102 0.944308 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 159
PREDICTED RESULTS: 0.965838 0.0374651 9.91366e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.946621 0.0581853 0.00014814 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.963588 0.0399064 0.000104938 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.960484 0.0432891 0.000112869 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.960582 0.0431897 0.000112608 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.960675 0.0430911 0.000112368 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.965523 0.0378103 9.99444e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.962838 0.0407312 0.000106849 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.966047 0.0372399 9.85943e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.964497 0.0389346 0.000102577 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00606692 0.11475 0.900836 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00846013 0.331966 0.721409 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0191722 0.871658 0.148221 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0277487 0.90692 0.0755248 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00867327 0.352044 0.703488 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0165746 0.830468 0.206478 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0125033 0.680579 0.388283 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0198871 0.880186 0.13613 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0514991 0.906871 0.0312025 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0140943 0.758355 0.298932 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0048511 0.0561992 0.951584 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00503213 0.0618565 0.946162 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0048616 0.0564732 0.951302 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00484504 0.0560409 0.951747 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00484602 0.0560648 0.951721 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00491073 0.0578812 0.94991 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00491806 0.058102 0.949696 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.004946 0.0589635 0.948867 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00485861 0.0563914 0.951384 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00490683 0.0577498 0.950031 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 169
PREDICTED RESULTS: 0.968235 0.0361829 8.63352e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.949814 0.056984 0.000129072 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.966133 0.0385778 9.12799e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.963142 0.0419887 9.82583e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.963215 0.0419088 9.80835e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.963334 0.0417749 9.78038e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.967932 0.0365303 8.70471e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.965409 0.0394083 9.29684e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.968423 0.035969 8.58902e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.966963 0.0376404 8.93184e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00818824 0.341619 0.706295 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0139047 0.796425 0.254117 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0268748 0.920732 0.0637871 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0356119 0.922663 0.042195 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0137962 0.790118 0.260607 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0238109 0.914407 0.0788977 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.019046 0.89092 0.122395 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0280385 0.922572 0.0592803 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0586764 0.911999 0.0219753 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0209031 0.903494 0.100902 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00473513 0.0533704 0.951245 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00516813 0.0703462 0.935341 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00475149 0.0538491 0.950755 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00472465 0.0530679 0.951557 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00472531 0.0530848 0.951538 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00485754 0.0573576 0.947314 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0048736 0.0579356 0.946761 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00493958 0.0604169 0.944415 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.004746 0.0536831 0.950922 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00484063 0.0567415 0.947898 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 179
PREDICTED RESULTS: 0.969681 0.0390773 6.19295e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.952853 0.0610749 9.02839e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.967773 0.0415933 6.51969e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.965069 0.0451606 6.97904e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.965139 0.0450696 6.9668e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.965227 0.0449559 6.95179e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.969409 0.0394376 6.23951e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.967116 0.0424648 6.63142e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.969853 0.0388515 6.16345e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.968527 0.0406059 6.39012e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.0071177 0.223011 0.782881 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0125041 0.741907 0.280176 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0269941 0.933237 0.0453165 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0369586 0.937075 0.0276608 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0125161 0.739618 0.281349 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.023903 0.926296 0.0572765 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0184513 0.895291 0.101464 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0282511 0.935351 0.0416061 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0613928 0.928655 0.0140065 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0204962 0.911806 0.0792356 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00456716 0.0512975 0.950045 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00487489 0.0603215 0.939666 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00458078 0.0515911 0.949662 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00455895 0.0511225 0.950273 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00455992 0.0511415 0.950247 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00465893 0.0535178 0.947303 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00466848 0.0537748 0.946999 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00471919 0.055206 0.945333 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00457757 0.0515184 0.949755 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00465108 0.0532943 0.94756 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 189
PREDICTED RESULTS: 0.970175 0.0379612 5.21672e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.954067 0.0591968 7.48724e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.968365 0.0403647 5.47624e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.965791 0.0437823 5.84244e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.965858 0.0436942 5.83279e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.965935 0.0435942 5.82181e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.969917 0.0383041 5.25366e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.967737 0.0412006 5.5656e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.970336 0.0377463 5.19341e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.969078 0.0394221 5.37371e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00694052 0.233472 0.766323 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0126482 0.792982 0.217392 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.027161 0.942759 0.0342864 
